Date,Temperature,Fuel_Price
2/5/2010,42.31,2.572
2/12/2010,38.51,2.548
2/19/2010,39.93,2.514
2/26/2010,46.63,2.561
3/5/2010,46.5,2.625
3/12/2010,57.79,2.667
3/19/2010,54.58,2.72
3/26/2010,51.45,2.732
4/2/2010,62.27,2.719
4/9/2010,65.86,2.77
4/16/2010,66.32,2.808
4/23/2010,64.84,2.795
4/30/2010,67.41,2.78
5/7/2010,72.55,2.835
5/14/2010,74.78,2.854
5/21/2010,76.44,2.826
5/28/2010,80.44,2.759
6/4/2010,80.69,2.705
6/11/2010,80.43,2.668
6/18/2010,84.11,2.637
6/25/2010,84.34,2.653
7/2/2010,80.91,2.669
7/9/2010,80.48,2.642
7/16/2010,83.15,2.623
7/23/2010,83.36,2.608
7/30/2010,81.84,2.64
8/6/2010,87.16,2.627
8/13/2010,87,2.692
8/20/2010,86.65,2.664
8/27/2010,85.22,2.619
9/3/2010,81.21,2.577
9/10/2010,78.69,2.565
9/17/2010,82.11,2.582
9/24/2010,80.94,2.624
10/1/2010,71.89,2.603
10/8/2010,63.93,2.633
10/15/2010,67.18,2.72
10/22/2010,69.86,2.725
10/29/2010,69.64,2.716
11/5/2010,58.74,2.689
11/12/2010,59.61,2.728
11/19/2010,51.41,2.771
11/26/2010,64.52,2.735
12/3/2010,49.27,2.708
12/10/2010,46.33,2.843
12/17/2010,49.84,2.869
12/24/2010,52.33,2.886
12/31/2010,48.43,2.943
1/7/2011,48.27,2.976
1/14/2011,35.4,2.983
1/21/2011,44.04,3.016
1/28/2011,43.83,3.01
2/4/2011,42.27,2.989
2/11/2011,36.39,3.022
2/18/2011,57.36,3.045
2/25/2011,62.9,3.065
3/4/2011,59.58,3.288
3/11/2011,53.56,3.459
3/18/2011,62.76,3.488
3/25/2011,69.97,3.473
4/1/2011,59.17,3.524
4/8/2011,67.84,3.622
4/15/2011,71.27,3.743
4/22/2011,72.99,3.807
4/29/2011,72.03,3.81
5/6/2011,64.61,3.906
5/13/2011,75.64,3.899
5/20/2011,67.63,3.907
5/27/2011,77.72,3.786
6/3/2011,83,3.699
6/10/2011,83.13,3.648
6/17/2011,86.41,3.637
6/24/2011,83.58,3.594
7/1/2011,85.55,3.524
7/8/2011,85.83,3.48
7/15/2011,88.54,3.575
7/22/2011,85.77,3.651
7/29/2011,86.83,3.682
8/5/2011,91.65,3.684
8/12/2011,90.76,3.638
8/19/2011,89.94,3.554
8/26/2011,87.96,3.523
9/2/2011,87.83,3.533
9/9/2011,76,3.546
9/16/2011,79.94,3.526
9/23/2011,75.8,3.467
9/30/2011,79.69,3.355
10/7/2011,69.31,3.285
10/14/2011,71.74,3.274
10/21/2011,63.71,3.353
10/28/2011,66.57,3.372
11/4/2011,54.98,3.332
11/11/2011,59.11,3.297
11/18/2011,62.25,3.308
11/25/2011,60.14,3.236
12/2/2011,48.91,3.172
12/9/2011,43.93,3.158
12/16/2011,51.63,3.159
12/23/2011,47.96,3.112
12/30/2011,44.55,3.129
1/6/2012,49.01,3.157
1/13/2012,48.53,3.261
1/20/2012,54.11,3.268
1/27/2012,54.26,3.29
2/3/2012,56.55,3.36
2/10/2012,48.02,3.409
2/17/2012,45.32,3.51
2/24/2012,57.25,3.555
3/2/2012,60.96,3.63
3/9/2012,58.76,3.669
3/16/2012,64.74,3.734
3/23/2012,65.93,3.787
3/30/2012,67.61,3.845
4/6/2012,70.43,3.891
4/13/2012,69.07,3.891
4/20/2012,66.76,3.877
4/27/2012,67.23,3.814
5/4/2012,75.55,3.749
5/11/2012,73.77,3.688
5/18/2012,70.33,3.63
5/25/2012,77.22,3.561
6/1/2012,77.95,3.501
6/8/2012,78.3,3.452
6/15/2012,79.35,3.393
6/22/2012,78.39,3.346
6/29/2012,84.88,3.286
7/6/2012,81.57,3.227
7/13/2012,77.12,3.256
7/20/2012,80.42,3.311
7/27/2012,82.66,3.407
8/3/2012,86.11,3.417
8/10/2012,85.05,3.494
8/17/2012,84.85,3.571
8/24/2012,77.66,3.62
8/31/2012,80.49,3.638
9/7/2012,83.96,3.73
9/14/2012,74.97,3.717
9/21/2012,69.87,3.721
9/28/2012,76.08,3.666
10/5/2012,68.55,3.617
10/12/2012,62.99,3.601
10/19/2012,67.97,3.594
10/26/2012,69.16,3.506
11/2/2012,55.32,3.386
